year,geography,metric,unit,vector,value,decimals
1998,"Kitchener-Cambridge-Waterloo, Ontario",Violent weighted clearance rate,Number,v53079584,62.52,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Non-violent weighted clearance rate,Number,v53079586,22.86,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079587,,2
1998,"London, Ontario",Crime severity index,Index,v44312593,106.98,2
1998,"London, Ontario",Violent crime severity index,Index,v44312595,64.13,2
1998,"London, Ontario",Non-violent crime severity index,Index,v44312597,123.46,2
1998,"London, Ontario",Youth crime severity index,Index,v53079597,,2
1998,"London, Ontario",Youth violent crime severity index,Index,v53079598,,2
1998,"London, Ontario",Youth non-violent crime severity index,Index,v53079590,,2
1998,"London, Ontario",Weighted clearance rate,Number,v53079591,40.67,2
1998,"London, Ontario",Violent weighted clearance rate,Number,v53079593,69.28,2
1998,"London, Ontario",Non-violent weighted clearance rate,Number,v53079595,34.95,2
1998,"London, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079596,,2
1998,"Windsor, Ontario",Crime severity index,Index,v44312599,102.12,2
1998,"Windsor, Ontario",Violent crime severity index,Index,v44312601,83.87,2
1998,"Windsor, Ontario",Non-violent crime severity index,Index,v44312603,109.13,2
1998,"Windsor, Ontario",Youth crime severity index,Index,v53079606,,2
1998,"Windsor, Ontario",Youth violent crime severity index,Index,v53079607,,2
1998,"Windsor, Ontario",Youth non-violent crime severity index,Index,v53079599,,2
1998,"Windsor, Ontario",Weighted clearance rate,Number,v53079600,38.87,2
1998,"Windsor, Ontario",Violent weighted clearance rate,Number,v53079602,66.78,2
1998,"Windsor, Ontario",Non-violent weighted clearance rate,Number,v53079604,30.62,2
1998,"Windsor, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079605,,2
1998,"Greater Sudbury, Ontario",Crime severity index,Index,v44312605,107.43,2
1998,"Greater Sudbury, Ontario",Violent crime severity index,Index,v44312607,69.81,2
1998,"Greater Sudbury, Ontario",Non-violent crime severity index,Index,v44312609,121.9,2
1998,"Greater Sudbury, Ontario",Youth crime severity index,Index,v53079615,,2
1998,"Greater Sudbury, Ontario",Youth violent crime severity index,Index,v53079616,,2
1998,"Greater Sudbury, Ontario",Youth non-violent crime severity index,Index,v53079608,,2
1998,"Greater Sudbury, Ontario",Weighted clearance rate,Number,v53079609,30.42,2
1998,"Greater Sudbury, Ontario",Violent weighted clearance rate,Number,v53079611,62.95,2
1998,"Greater Sudbury, Ontario",Non-violent weighted clearance rate,Number,v53079613,23.26,2
1998,"Greater Sudbury, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079614,,2
1998,"Thunder Bay, Ontario",Crime severity index,Index,v44312611,130.83,2
1998,"Thunder Bay, Ontario",Violent crime severity index,Index,v44312613,115.46,2
